1,35.6699,35.68,35.56,35.67,181017
2,35.54,35.66,35.53,35.65,147181
3,35.595,35.595,35.54,35.55,146543
4,35.615,35.645,35.58,35.59,210876
5,35.66,35.66,35.595,35.615,126649
6,35.66,35.68,35.65,35.67,114483
7,35.64,35.67,35.64,35.67,156924
8,35.6463,35.655,35.63,35.65,75019
9,35.65,35.66,35.631,35.645,115911
10,35.605,35.67,35.6,35.66,113324
11,35.56,35.625,35.555,35.605,102540
12,35.59,35.59,35.56,35.569,116200
13,35.5551,35.595,35.5551,35.5899,79929
14,35.58,35.59,35.54,35.55,100756
15,35.62,35.62,35.58,35.58,10746
16,35.61,35.63,35.6,35.62,70627
17,35.6162,35.63,35.605,35.61,49201
18,35.61,35.62,35.59,35.62,69772
19,35.615,35.62,35.6,35.61,32158
20,35.62,35.63,35.61,35.6149,63026
21,35.6,35.62,35.6,35.62,32629
22,35.62,35.62,35.58,35.6,137314
23,35.6301,35.64,35.61,35.62,40589
24,35.6299,35.65,35.61,35.64,201168
25,35.67,35.67,35.63,35.63,131220
26,35.635,35.67,35.63,35.6601,69151
27,35.64,35.65,35.62,35.635,113823
28,35.64,35.655,35.63,35.635,110500
29,35.645,35.65,35.63,35.645,83341
30,35.6351,35.65,35.63,35.645,49971
31,35.615,35.64,35.61,35.64,38826
32,35.625,35.64,35.61,35.619,42976
33,35.625,35.64,35.6201,35.6201,25727
34,35.63,35.63,35.61,35.63,40342
35,35.62,35.64,35.61,35.63,48624
36,35.63,35.63,35.61,35.62,19754
37,35.62,35.64,35.61,35.63,144869
38,35.66,35.66,35.62,35.625,81889
39,35.6229,35.655,35.615,35.65,106756
40,35.64,35.64,35.62,35.63,80311
41,35.6499,35.65,35.62,35.64,99894
42,35.64,35.66,35.635,35.64,59254
43,35.635,35.65,35.625,35.635,52879
44,35.64,35.6451,35.61,35.64,66245
45,35.62,35.64,35.61,35.64,98143
46,35.58,35.63,35.58,35.62,199751
47,35.59,35.6025,35.58,35.59,74168
48,35.56,35.6,35.55,35.6,101545
49,35.54,35.58,35.54,35.56,92589
50,35.525,35.545,35.51,35.541,160364
